LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LARC       PRE-INCREASE AVERAGE COUNTING RATE     75.82      COUNTS PER SECOND
LARC       TIME INTERVALS    300         3600     
LARC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LARC       061213 300  212500-213000   00      82.50  968.5     75.77    -0.10    -9999
LARC       061213 300  213000-213500   00      84.20  968.5     77.34     2.00    -9999
LARC       061213 300  213500-214000   00      82.58  968.6     75.89     0.10    -9999
LARC       061213 300  214000-214500   00      82.49  968.6     75.82     0.00    -9999
LARC       061213 300  214500-215000   00      82.35  968.6     75.71    -0.10    -9999
LARC       061213 300  215000-215500   00      83.75  968.6     76.99     1.60    -9999
LARC       061213 300  215500-220000   00      83.11  968.6     76.39     0.80    -9999
LARC       061213 300  220000-220500   00      81.19  968.6     74.60    -1.60    -9999
LARC       061213 300  220500-221000   00      83.53  968.6     76.79     1.30    -9999
LARC       061213 300  221000-221500   00      83.13  968.6     76.40     0.80    -9999
LARC       061213 300  221500-222000   00      82.82  968.5     76.08     0.40    -9999
LARC       061213 300  222000-222500   00      83.40  968.6     76.63     1.10    -9999
LARC       061213 300  222500-223000   00      83.20  968.5     76.41     0.80    -9999
LARC       061213 300  223000-223500   00      81.32  968.6     74.72    -1.40    -9999
LARC       061213 300  223500-224000   00      82.06  968.6     75.40    -0.50    -9999
LARC       061213 300  224000-224500   00      83.52  968.5     76.70     1.20    -9999
LARC       061213 300  224500-225000   00      81.94  968.5     75.25    -0.70    -9999
LARC       061213 300  225000-225500   00      82.50  968.5     75.78     0.00    -9999
LARC       061213 300  225500-230000   00      82.17  968.5     75.47    -0.50    -9999
LARC       061213 300  230000-230500   00      82.31  968.5     75.58    -0.30    -9999
LARC       061213 300  230500-231000   00      82.55  968.5     75.80     0.00    -9999
LARC       061213 300  231000-231500   00      80.91  968.5     74.29    -2.00    -9999
LARC       061213 300  231500-232000   00      82.74  968.5     75.99     0.20    -9999
LARC       061213 300  232000-232500   00      82.01  968.5     75.32    -0.70    -9999
LARC       061213 300  232500-233000   00      81.84  968.5     75.16    -0.90    -9999
LARC       061213 300  233000-233500   00      81.22  968.6     74.62    -1.60    -9999
LARC       061213 300  233500-234000   00      82.15  968.6     75.49    -0.40    -9999
LARC       061213 300  234000-234500   00      82.24  968.5     75.56    -0.30    -9999
LARC       061213 300  234500-235000   00      81.97  968.6     75.36    -0.60    -9999
LARC       061213 300  235000-235500   00      82.96  968.5     76.22     0.50    -9999
LARC       061213 300  235500-240000   00      80.36  968.5     73.81    -2.60    -9999
*
*COMMENT   ALERT FROM M.STORINI - CONFIRMED BY E. OLIVARES CANOUET
*COMMENT   PROMPT DATA PREPARED BY E.OLIVARES CANOUET: 21-12-2006
*COMMENT   TO ACKNOWLEDGE: CHILE/ITALY COLLABORATION FOR LARC
"*COMMENT   CITATION: E.O. Olivares, M. Storini, E.G. Cordaro, LARC response "
"*COMMENT   to GLE 70, Report INAF/IFSI-2007-2"
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070LARC_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
