KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.6  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    170.29      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       120517 300  191500-192000   00     164.76 1009.9    168.68    -0.90    -9999
KIEL       120517 300  192000-192500   00     164.40 1009.9    168.35    -1.10    -9999
KIEL       120517 300  192500-193000   00     164.85 1009.9    168.77    -0.90    -9999
KIEL       120517 300  193000-193500   00     164.23 1009.8    168.10    -1.30    -9999
KIEL       120517 300  193500-194000   00     164.82 1009.8    168.68    -0.90    -9999
KIEL       120517 300  194000-194500   00     164.19 1009.8    168.01    -1.30    -9999
KIEL       120517 300  194500-195000   00     163.38 1009.8    167.21    -1.80    -9999
KIEL       120517 300  195000-195500   00     165.43 1009.8    169.24    -0.60    -9999
KIEL       120517 300  195500-200000   00     164.85 1009.7    168.58    -1.00    -9999
KIEL       120517 300  200000-200500   00     163.64 1009.7    167.35    -1.70    -9999
KIEL       120517 300  200500-201000   00     163.65 1009.7    167.29    -1.80    -9999
KIEL       120517 300  201000-201500   00     164.40 1009.7    168.11    -1.30    -9999
KIEL       120517 300  201500-202000   00     165.52 1009.6    169.16    -0.70    -9999
KIEL       120517 300  202000-202500   00     165.40 1009.6    169.04    -0.70    -9999
KIEL       120517 300  202500-203000   00     166.53 1009.6    170.19    -0.10    -9999
KIEL       120517 300  203000-203500   00     167.41 1009.5    170.99     0.40    -9999
KIEL       120517 300  203500-204000   00     165.15 1009.6    168.71    -0.90    -9999
