KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    188.09      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  010414 300  201500-202000   10     177.87  754.1    185.07    -1.60    -9999
KERGUELEN  010414 300  202000-202500   10     177.87  754.3    185.60    -1.30    -9999
KERGUELEN  010414 300  202500-203000   10     178.67  754.3    186.40    -0.90    -9999
KERGUELEN  010414 300  203000-203500   10     173.73  754.3    181.20    -3.70    -9999
KERGUELEN  010414 300  203500-204000   10     177.20  754.4    185.07    -1.60    -9999
KERGUELEN  010414 300  204000-204500   10     176.13  754.3    183.73    -2.30    -9999
KERGUELEN  010414 300  204500-205000   10     174.53  754.4    182.27    -3.10    -9999
KERGUELEN  010414 300  205000-205500   10     175.33  754.5    183.33    -2.50    -9999
KERGUELEN  010414 300  205500-210000   10     177.20  754.4    185.20    -1.50    -9999
KERGUELEN  010414 300  210000-210500   10     176.13  754.4    184.00    -2.20    -9999
KERGUELEN  010414 300  210500-211000   10     174.40  754.4    182.00    -3.20    -9999
KERGUELEN  010414 300  211000-211500   10     176.80  754.3    184.40    -2.00    -9999
KERGUELEN  010414 300  211500-212000   10     175.73  754.2    183.20    -2.60    -9999
KERGUELEN  010414 300  212000-212500   10     175.07  754.1    182.27    -3.10    -9999
KERGUELEN  010414 300  212500-213000   10     178.27  754.0    185.47    -1.40    -9999
KERGUELEN  010414 300  213000-213500   10     178.40  753.9    185.33    -1.50    -9999
KERGUELEN  010414 300  213500-214000   10     177.73  753.9    184.67    -1.80    -9999
KERGUELEN  010414 300  214000-214500   10     178.40  754.0    185.60    -1.30    -9999
KERGUELEN  010414 300  214500-215000   10     178.53  754.0    185.73    -1.30    -9999
KERGUELEN  010414 300  215000-215500   10     175.73  754.1    183.07    -2.70    -9999
KERGUELEN  010414 300  215500-220000   10     175.73  754.1    182.93    -2.70    -9999
KERGUELEN  010414 300  220000-220500   10     176.53  754.2    184.00    -2.20    -9999
KERGUELEN  010414 300  220500-221000   10     177.73  754.3    185.33    -1.50    -9999
KERGUELEN  010414 300  221000-221500   10     176.53  754.4    184.27    -2.00    -9999
KERGUELEN  010414 300  221500-222000   10     176.93  754.4    184.80    -1.70    -9999
