YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.71     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     84.22      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    010415 300  222500-223000   00      84.53 1002.9     86.12     2.30     0.59
YAKUTSK    010415 300  223000-223500   00      84.96 1002.9     86.55     2.80     1.08
YAKUTSK    010415 300  223500-224000   00      85.44 1002.9     87.04     3.30     1.57
YAKUTSK    010415 300  224000-224500   00      84.80 1002.9     86.38     2.60     0.87
YAKUTSK    010415 300  224500-225000   00      86.08 1002.9     87.68     4.10     2.36
YAKUTSK    010415 300  225000-225500   00      84.43 1002.9     85.99     2.10     0.35
YAKUTSK    010415 300  225500-230000   00      85.76 1002.8     87.34     3.70     1.94
YAKUTSK    010415 300  230000-230500   00      86.03 1002.8     87.57     4.00     2.23
YAKUTSK    010415 300  230500-231000   00      85.97 1002.8     87.50     3.90     2.12
YAKUTSK    010415 300  231000-231500   00      84.75 1002.7     86.24     2.40     0.62
YAKUTSK    010415 300  231500-232000   00      85.44 1002.7     86.94     3.20     1.41
YAKUTSK    010415 300  232000-232500   00      85.23 1002.7     86.71     3.00     1.20
YAKUTSK    010415 300  232500-233000   00      85.01 1002.7     86.49     2.70     0.89
YAKUTSK    010415 300  233000-233500   00      83.84 1002.7     85.29     1.30    -0.52
YAKUTSK    010415 300  233500-234000   00      84.85 1002.7     86.31     2.50     0.68
YAKUTSK    010415 300  234000-234500   00      85.44 1002.7     86.90     3.20     1.37
YAKUTSK    010415 300  234500-235000   00      86.03 1002.7     87.49     3.90     2.06
YAKUTSK    010415 300  235000-235500   00      84.59 1002.7     86.02     2.10     0.25
YAKUTSK    010415 300  235500-240000   00      85.12 1002.6     86.56     2.80     0.95
YAKUTSK    010416 3600 000000-010000   00      85.24 1002.6     86.66     2.90     1.00
YAKUTSK    010416 3600 010000-020000   00      85.68 1002.3     86.91     3.20     1.22
YAKUTSK    010416 3600 020000-030000   00      85.51 1002.1     86.62     2.90     0.86
YAKUTSK    010416 3600 030000-040000   00      85.39 1001.8     86.31     2.50     0.41
YAKUTSK    010416 3600 040000-050000   00      85.80 1001.7     86.67     2.90     0.77
YAKUTSK    010416 3600 050000-060000   00      85.22 1001.7     86.08     2.20     0.05
YAKUTSK    010416 3600 060000-070000   00      85.41 1001.6     86.21     2.40     0.24
YAKUTSK    010416 3600 070000-080000   00      84.79 1001.6     85.58     1.60    -9999
YAKUTSK    010416 3600 080000-090000   00      85.24 1001.8     86.16     2.30    -9999
YAKUTSK    010416 3600 090000-100000   00      85.33 1002.0     86.38     2.60    -9999
YAKUTSK    010416 3600 100000-110000   00      84.55 1002.2     85.71     1.80    -9999
YAKUTSK    010416 3600 110000-120000   00      84.31 1002.2     85.46     1.50    -9999
YAKUTSK    010416 3600 120000-130000   00      84.61 1002.1     85.70     1.80    -9999
YAKUTSK    010416 3600 130000-140000   00      84.59 1001.9     85.56     1.60    -9999
YAKUTSK    010416 3600 140000-150000   00      84.86 1001.8     85.78     1.90    -9999
YAKUTSK    010416 3600 150000-160000   00      85.03 1001.7     85.88     2.00    -9999
YAKUTSK    010416 3600 160000-170000   00      85.23 1001.5     85.97     2.10    -9999
YAKUTSK    010416 3600 170000-180000   00      85.15 1001.4     85.82     1.90    -9999
YAKUTSK    010416 3600 180000-190000   00      85.33 1001.2     85.88     2.00    -9999
YAKUTSK    010416 3600 190000-200000   00      85.48 1001.0     85.90     2.00    -9999
YAKUTSK    010416 3600 200000-210000   00      85.39 1000.9     85.75     1.80    -9999
YAKUTSK    010416 3600 210000-220000   00      84.72 1001.0     85.15     1.10    -9999
YAKUTSK    010416 3600 220000-230000   00      85.93 1000.9     86.30     2.50    -9999
YAKUTSK    010416 3600 230000-240000   00      85.35 1000.9     85.71     1.80    -9999
*
*	
*COMMENT    DATA VERIFIED0BY E.A.EROSHENKO	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060YKTK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
