NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     92.26      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NEWARK     120517 300  171500-172000   00      93.44 1013.9     93.92     1.80    -9999
NEWARK     120517 300  172000-172500   00      90.66 1013.8     91.04    -1.30    -9999
NEWARK     120517 300  172500-173000   00      93.22 1013.6     93.49     1.30    -9999
NEWARK     120517 300  173000-173500   00      95.86 1013.6     96.12     4.20    -9999
NEWARK     120517 300  173500-174000   00      93.23 1013.6     93.46     1.30    -9999
NEWARK     120517 300  174000-174500   00      91.90 1013.6     92.10    -0.20    -9999
NEWARK     120517 300  174500-175000   00      92.79 1013.5     92.96     0.80    -9999
NEWARK     120517 300  175000-175500   00      93.51 1013.5     93.68     1.50    -9999
NEWARK     120517 300  175500-180000   00      93.95 1013.5     94.09     2.00    -9999
NEWARK     120517 300  180000-180500   00      92.76 1013.5     92.94     0.70    -9999
NEWARK     120517 300  180500-181000   00      91.87 1013.6     92.07    -0.20    -9999
NEWARK     120517 300  181000-181500   00      91.80 1013.6     92.03    -0.20    -9999
NEWARK     120517 300  181500-182000   00      94.37 1013.5     94.57     2.50    -9999
NEWARK     120517 300  182000-182500   00      93.30 1013.5     93.47     1.30    -9999
NEWARK     120517 300  182500-183000   00      93.77 1013.4     93.85     1.70    -9999
NEWARK     120517 300  183000-183500   00      92.96 1013.3     92.96     0.80    -9999
NEWARK     120517 300  183500-184000   00      93.77 1013.2     93.77     1.60    -9999
NEWARK     120517 300  184000-184500   00      92.13 1013.4     92.24     0.00    -9999
NEWARK     120517 300  184500-185000   00      92.89 1013.5     93.04     0.80    -9999
NEWARK     120517 300  185000-185500   00      92.51 1013.4     92.65     0.40    -9999
NEWARK     120517 300  185500-190000   00      93.04 1013.5     93.20     1.00    -9999
NEWARK     120517 300  190000-190500   00      91.96 1013.5     92.09    -0.20    -9999
NEWARK     120517 300  190500-191000   00      92.45 1013.4     92.55     0.30    -9999
NEWARK     120517 300  191000-191500   00      91.15 1013.4     91.25    -1.10    -9999
NEWARK     120517 300  191500-192000   00      93.15 1013.3     93.19     1.00    -9999
NEWARK     120517 300  192000-192500   00      93.23 1013.2     93.16     1.00    -9999
NEWARK     120517 300  192500-193000   00      92.97 1013.0     92.78     0.60    -9999
NEWARK     120517 300  193000-193500   00      92.61 1012.9     92.40     0.20    -9999
NEWARK     120517 300  193500-194000   00      93.55 1013.0     93.35     1.20    -9999
NEWARK     120517 300  194000-194500   00      92.51 1013.0     92.33     0.10    -9999
NEWARK     120517 300  194500-195000   00      91.79 1012.9     91.57    -0.70    -9999
NEWARK     120517 300  195000-195500   00      92.53 1012.9     92.32     0.10    -9999
