APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    mB     COEFFICIENT   -0.74     % / mB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    162.19      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mB)      C/S
APATITY  L 061213 300  170000-170500   00     209.24  974.6    162.35     0.10    -9999
APATITY  L 061213 300  170500-171000   00     207.34  974.7    160.95    -0.80    -9999
APATITY  L 061213 300  171000-171500   00     210.20  974.7    163.28     0.70    -9999
APATITY  L 061213 300  171500-172000   00     209.56  974.8    162.82     0.40    -9999
APATITY  L 061213 300  172000-172500   00     209.64  974.7    162.85     0.40    -9999
APATITY  L 061213 300  172500-173000   00     209.28  974.8    162.59     0.30    -9999
APATITY  L 061213 300  173000-173500   00     210.02  974.7    163.12     0.60    -9999
APATITY  L 061213 300  173500-174000   00     208.56  974.7    161.91    -0.20    -9999
APATITY  L 061213 300  174000-174500   00     209.12  974.7    162.32     0.10    -9999
APATITY  L 061213 300  174500-175000   00     209.32  974.6    162.43     0.10    -9999
APATITY  L 061213 300  175000-175500   00     208.90  974.6    162.00    -0.10    -9999
APATITY  L 061213 300  175500-180000   00     209.86  974.7    162.90     0.40    -9999
APATITY  L 061213 300  180000-180500   00     207.66  974.7    161.24    -0.60    -9999
APATITY  L 061213 300  180500-181000   00     209.14  974.7    162.37     0.10    -9999
APATITY  L 061213 300  181000-181500   00     209.76  974.7    162.83     0.40    -9999
APATITY  L 061213 300  181500-182000   00     210.78  974.7    163.67     0.90    -9999
APATITY  L 061213 300  182000-182500   00     209.76  974.7    162.91     0.40    -9999
APATITY  L 061213 300  182500-183000   00     209.78  974.7    162.91     0.40    -9999
APATITY  L 061213 300  183000-183500   00     206.20  974.7    160.07    -1.30    -9999
APATITY  L 061213 300  183500-184000   00     209.98  974.6    162.91     0.40    -9999
APATITY  L 061213 300  184000-184500   00     211.04  974.6    163.66     0.90    -9999
APATITY  L 061213 300  184500-185000   00     211.20  974.6    163.80     1.00    -9999
APATITY  L 061213 300  185000-185500   00     208.28  974.6    161.48    -0.40    -9999
APATITY  L 061213 300  185500-190000   00     207.18  974.6    160.66    -0.90    -9999
APATITY  L 061213 300  190000-190500   00     207.88  974.6    161.22    -0.60    -9999
APATITY  L 061213 300  190500-191000   00     209.50  974.5    162.42     0.10    -9999
APATITY  L 061213 300  191000-191500   00     207.32  974.5    160.70    -0.90    -9999
APATITY  L 061213 300  191500-192000   00     210.66  974.5    163.19     0.60    -9999
APATITY  L 061213 300  192000-192500   00     208.40  974.4    161.37    -0.50    -9999
APATITY  L 061213 300  192500-193000   00     210.80  974.3    163.09     0.60    -9999
APATITY  L 061213 300  193000-193500   00     210.02  974.3    162.40     0.10    -9999
APATITY  L 061213 300  193500-194000   00     209.22  974.3    161.77    -0.30    -9999
APATITY  L 061213 300  194000-194500   00     211.54  974.3    163.57     0.90    -9999
APATITY  L 061213 300  194500-195000   00     209.76  974.3    162.15     0.00    -9999
APATITY  L 061213 300  195000-195500   00     208.54  974.3    161.30    -0.50    -9999
APATITY  L 061213 300  195500-200000   00     210.02  974.4    162.52     0.20    -9999
APATITY  L 061213 300  200000-200500   00     209.72  974.4    162.35     0.10    -9999
APATITY  L 061213 300  200500-201000   00     208.32  974.3    161.15    -0.60    -9999
APATITY  L 061213 300  201000-201500   00     208.34  974.3    161.10    -0.70    -9999
APATITY  L 061213 300  201500-202000   00     209.40  974.2    161.80    -0.20    -9999
APATITY  L 061213 300  202000-202500   00     211.20  974.2    163.15     0.60    -9999
APATITY  L 061213 300  202500-203000   00     210.02  974.2    162.26     0.00    -9999
APATITY  L 061213 300  203000-203500   00     208.04  974.1    160.64    -1.00    -9999
APATITY  L 061213 300  203500-204000   00     209.06  974.1    161.43    -0.50    -9999
APATITY  L 061213 300  204000-204500   00     211.84  974.1    163.55     0.80    -9999
APATITY  L 061213 300  204500-205000   00     209.26  974.1    161.52    -0.40    -9999
APATITY  L 061213 300  205000-205500   00     212.34  974.1    163.94     1.10    -9999
APATITY  L 061213 300  205500-210000   00     211.18  974.1    163.05     0.50    -9999
APATITY  L 061213 300  210000-210500   00     210.00  974.1    162.12     0.00    -9999
APATITY  L 061213 300  210500-211000   00     208.28  974.1    160.68    -0.90    -9999
APATITY  L 061213 300  211000-211500   00     208.88  974.0    161.11    -0.70    -9999
APATITY  L 061213 300  211500-212000   00     208.66  974.0    160.85    -0.80    -9999
APATITY  L 061213 300  212000-212500   00     211.82  973.9    163.15     0.60    -9999
