MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010415 300  195000-195500   00     214.57  772.3    205.07     0.60    -9999
MEXICOCITY 010415 300  195500-200000   00     214.90  772.2    205.23     0.70    -9999
MEXICOCITY 010415 300  200000-200500   00     215.10  772.1    205.27     0.70    -9999
MEXICOCITY 010415 300  200500-201000   00     215.33  772.0    205.33     0.80    -9999
MEXICOCITY 010415 300  201000-201500   00     215.13  771.9    205.00     0.60    -9999
MEXICOCITY 010415 300  201500-202000   00     213.07  771.9    203.03    -0.40    -9999
MEXICOCITY 010415 300  202000-202500   00     211.63  771.8    201.53    -1.10    -9999
MEXICOCITY 010415 300  202500-203000   00     214.37  771.7    204.00     0.10    -9999
MEXICOCITY 010415 300  203000-203500   00     217.77  771.6    207.07     1.60    -9999
MEXICOCITY 010415 300  203500-204000   00     216.97  771.5    206.17     1.20    -9999
MEXICOCITY 010415 300  204000-204500   00     218.17  771.5    207.30     1.70    -9999
MEXICOCITY 010415 300  204500-205000   00     216.57  771.5    205.80     1.00    -9999
MEXICOCITY 010415 300  205000-205500   00     217.80  771.5    206.97     1.60    -9999
MEXICOCITY 010415 300  205500-210000   00     216.03  771.4    205.13     0.70    -9999
MEXICOCITY 010415 300  210000-210500   00     214.77  771.4    203.93     0.10    -9999
MEXICOCITY 010415 300  210500-211000   00     216.00  771.2    204.80     0.50    -9999
MEXICOCITY 010415 300  211000-211500   00     218.77  771.2    207.43     1.80    -9999
MEXICOCITY 010415 300  211500-212000   00     217.00  771.2    205.77     1.00    -9999
MEXICOCITY 010415 300  212000-212500   00     215.60  771.1    204.30     0.30    -9999
MEXICOCITY 010415 300  212500-213000   00     216.23  771.0    204.73     0.50    -9999
MEXICOCITY 010415 300  213000-213500   00     215.10  771.0    203.67    -0.10    -9999
MEXICOCITY 010415 300  213500-214000   00     215.80  770.9    204.17     0.20    -9999
MEXICOCITY 010415 300  214000-214500   00     214.00  770.9    202.47    -0.60    -9999
MEXICOCITY 010415 300  214500-215000   00     217.47  770.7    205.47     0.80    -9999
MEXICOCITY 010415 300  215000-215500   00     218.40  770.6    206.20     1.20    -9999
MEXICOCITY 010415 300  215500-220000   00     214.87  770.7    203.00    -0.40    -9999
MEXICOCITY 010415 300  220000-220500   00     217.80  770.5    205.50     0.80    -9999
