IRKUTSK    LATITUDE    52.47     LONGITUDE     104.03    ALTITUDE    433 M
IRKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
IRKUTSK    STANDARD PRESSURE    948.3   MB     COEFFICIENT   -0.71     % / MB
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    188.20      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK    000714 300  231000-231500   00     186.42  948.6    186.89    -0.70    -9999
IRKUTSK    000714 300  231500-232000   00     185.88  948.6    186.32    -1.00    -9999
IRKUTSK    000714 300  232000-232500   00     187.13  948.6    187.57    -0.30    -9999
IRKUTSK    000714 300  232500-233000   00     187.64  948.6    188.05    -0.10    -9999
IRKUTSK    000714 300  233000-233500   00     188.86  948.6    189.25     0.60    -9999
IRKUTSK    000714 300  233500-234000   00     189.38  948.6    189.75     0.80    -9999
IRKUTSK    000714 300  234000-234500   00     187.88  948.6    188.22     0.00    -9999
IRKUTSK    000714 300  234500-235000   00     188.52  948.5    188.84     0.30    -9999
IRKUTSK    000714 300  235000-235500   00     187.59  948.5    187.88    -0.20    -9999
IRKUTSK    000714 300  235500-240000   00     187.59  948.5    187.84    -0.20    -9999
IRKUTSK    000715 3600 000000-010000   00     188.70  948.3    188.70     0.30    -9999
IRKUTSK    000715 3600 010000-020000   00     188.34  948.3    188.34     0.10    -9999
IRKUTSK    000715 3600 020000-030000   00     188.62  948.2    188.48     0.10    -9999
IRKUTSK    000715 3600 030000-040000   00     188.79  948.3    188.79     0.30    -9999
IRKUTSK    000715 3600 040000-050000   00     189.69  948.0    189.29     0.60    -9999
IRKUTSK    000715 3600 050000-060000   00     190.43  947.7    189.62     0.80    -9999
IRKUTSK    000715 3600 060000-070000   00     191.38  947.4    190.15     1.00    -9999
IRKUTSK    000715 3600 070000-080000   00     190.00  947.5    188.92     0.40    -9999
IRKUTSK    000715 3600 080000-090000   00     189.78  947.7    188.97     0.40    -9999
IRKUTSK    000715 3600 090000-100000   00     188.32  948.1    188.05    -0.10    -9999
IRKUTSK    000715 3600 100000-110000   00     187.64  948.6    188.04    -0.10    -9999
IRKUTSK    000715 3600 110000-120000   00     186.37  949.3    187.70    -0.30    -9999
IRKUTSK    000715 3600 120000-130000   00     186.36  949.9    188.50     0.20    -9999
IRKUTSK    000715 3600 130000-140000   00     184.49  950.6    187.54    -0.40    -9999
IRKUTSK    000715 3600 140000-150000   00     184.11  950.9    187.56    -0.30    -9999
IRKUTSK    000715 3600 150000-160000   00     184.88  951.1    188.61     0.20    -9999
IRKUTSK    000715 3600 160000-170000   00     184.45  951.1    188.17     0.00    -9999
IRKUTSK    000715 3600 170000-180000   00     182.10  951.3    186.04    -1.20    -9999
IRKUTSK    000715 3600 180000-190000   00     182.20  951.3    186.14    -1.10    -9999
IRKUTSK    000715 3600 190000-200000   00     182.11  951.1    185.78    -1.30    -9999
IRKUTSK    000715 3600 200000-210000   00     179.98  951.1    183.61    -2.40    -9999
IRKUTSK    000715 3600 210000-220000   00     179.02  951.3    182.89    -2.80    -9999
IRKUTSK    000715 3600 220000-230000   00     174.28  951.5    178.30    -5.30    -9999
IRKUTSK    000715 3600 230000-240000   00     174.40  951.6    178.55    -5.10    -9999
*
*	
*COMMENT    DATA VERIFIED BY E.A.EROSHENKO	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059IRKT_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
