SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    686.5   mb     COEFFICIENT   -0.75     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    227.71      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 031029 300  043000-043500   00     241.42  689.0    245.90     8.00     8.00
SOUTH POLE 031029 300  043500-044000   00     241.28  689.0    245.78     7.90     7.90
SOUTH POLE 031029 300  044000-044500   00     242.46  689.0    246.99     8.50     8.50
SOUTH POLE 031029 300  044500-045000   00     241.68  689.0    246.22     8.10     8.10
SOUTH POLE 031029 300  045000-045500   00     243.94  689.0    248.53     9.20     9.20
SOUTH POLE 031029 300  045500-050000   00     242.12  689.0    246.69     8.40     8.40
SOUTH POLE 031029 300  050000-050500   00     242.22  689.0    246.82     8.40     8.40
SOUTH POLE 031029 300  050500-051000   00     241.68  689.0    246.30     8.10     8.10
SOUTH POLE 031029 300  051000-051500   00     241.02  689.0    245.66     7.90     7.90
SOUTH POLE 031029 300  051500-052000   00     242.62  689.1    247.32     8.60     8.60
SOUTH POLE 031029 300  052000-052500   00     241.56  689.1    246.27     8.20     8.20
SOUTH POLE 031029 300  052500-053000   00     241.12  689.1    245.85     8.00     8.00
SOUTH POLE 031029 300  053000-053500   00     242.94  689.1    247.74     8.80     8.80
SOUTH POLE 031029 300  053500-054000   00     241.52  689.1    246.32     8.20     8.20
SOUTH POLE 031029 300  054000-054500   00     240.04  689.1    244.84     7.50     7.50
SOUTH POLE 031029 300  054500-055000   00     240.34  689.2    245.18     7.70     7.70
