APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  104500-105000   00     177.72  998.7    176.05     1.40    -9999
APATITY  L 120517 300  105000-105500   00     176.68  998.8    175.10     0.80    -9999
APATITY  L 120517 300  105500-110000   00     180.09  998.6    178.33     2.70    -9999
APATITY  L 120517 300  110000-110500   00     177.42  998.5    175.56     1.10    -9999
APATITY  L 120517 300  110500-111000   00     175.34  998.4    173.35    -0.20    -9999
APATITY  L 120517 300  111000-111500   00     176.69  998.3    174.60     0.50    -9999
APATITY  L 120517 300  111500-112000   00     177.43  998.3    175.32     0.90    -9999
APATITY  L 120517 300  112000-112500   00     178.35  998.2    176.05     1.40    -9999
APATITY  L 120517 300  112500-113000   00     179.56  998.1    177.15     2.00    -9999
APATITY  L 120517 300  113000-113500   00     177.28  998.1    174.82     0.70    -9999
APATITY  L 120517 300  113500-114000   00     179.93  998.1    177.51     2.20    -9999
APATITY  L 120517 300  114000-114500   00     176.62  998.1    174.25     0.30    -9999
APATITY  L 120517 300  114500-115000   00     176.92  998.0    174.41     0.40    -9999
APATITY  L 120517 300  115000-115500   00     181.00  997.9    178.30     2.70    -9999
APATITY  L 120517 300  115500-120000   00     176.96  997.8    174.16     0.30    -9999
APATITY  L 120517 300  120000-120500   00     179.84  997.6    176.81     1.80    -9999
APATITY  L 120517 300  120500-121000   00     180.38  997.5    177.12     2.00    -9999
APATITY  L 120517 300  121000-121500   00     179.51  997.3    176.00     1.30    -9999
APATITY  L 120517 300  121500-122000   00     178.95  997.1    175.29     0.90    -9999
APATITY  L 120517 300  122000-122500   00     178.83  997.0    175.02     0.80    -9999
APATITY  L 120517 300  122500-123000   00     178.59  996.9    174.67     0.60    -9999
APATITY  L 120517 300  123000-123500   00     178.73  996.9    174.82     0.70    -9999
APATITY  L 120517 300  123500-124000   00     178.26  997.1    174.52     0.50    -9999
