KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18NM64    NEUTRON MONITOR	
KINGSTON   STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    207.41      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KINGSTON   120517 300  131000-131500   00    -999.00 -999.0    204.78    -1.30    -9999
KINGSTON   120517 300  131500-132000   00    -999.00 -999.0    206.83    -0.30    -9999
KINGSTON   120517 300  132000-132500   00    -999.00 -999.0    207.25    -0.10    -9999
KINGSTON   120517 300  132500-133000   00    -999.00 -999.0    203.55    -1.90    -9999
KINGSTON   120517 300  133000-133500   00    -999.00 -999.0    204.15    -1.60    -9999
KINGSTON   120517 300  133500-134000   00    -999.00 -999.0    206.03    -0.70    -9999
KINGSTON   120517 300  134000-134500   00    -999.00 -999.0    204.25    -1.50    -9999
KINGSTON   120517 300  134500-135000   00    -999.00 -999.0    206.18    -0.60    -9999
KINGSTON   120517 300  135000-135500   00    -999.00 -999.0    206.20    -0.60    -9999
KINGSTON   120517 300  135500-140000   00    -999.00 -999.0    205.82    -0.80    -9999
KINGSTON   120517 300  140000-140500   00    -999.00 -999.0    207.10    -0.10    -9999
KINGSTON   120517 300  140500-141000   00    -999.00 -999.0    203.82    -1.70    -9999
KINGSTON   120517 300  141000-141500   00    -999.00 -999.0    205.75    -0.80    -9999
KINGSTON   120517 300  141500-142000   00    -999.00 -999.0    206.72    -0.30    -9999
KINGSTON   120517 300  142000-142500   00    -999.00 -999.0    202.22    -2.50    -9999
KINGSTON   120517 300  142500-143000   00    -999.00 -999.0    207.75     0.20    -9999
KINGSTON   120517 300  143000-143500   00    -999.00 -999.0    204.50    -1.40    -9999
KINGSTON   120517 300  143500-144000   00    -999.00 -999.0    206.95    -0.20    -9999
KINGSTON   120517 300  144000-144500   00    -999.00 -999.0    206.48    -0.40    -9999
KINGSTON   120517 300  144500-145000   00    -999.00 -999.0    208.38     0.50    -9999
KINGSTON   120517 300  145000-145500   00    -999.00 -999.0    204.83    -1.20    -9999
KINGSTON   120517 300  145500-150000   00    -999.00 -999.0    204.88    -1.20    -9999
KINGSTON   120517 300  150000-150500   00    -999.00 -999.0    204.40    -1.50    -9999
KINGSTON   120517 300  150500-151000   00    -999.00 -999.0    205.87    -0.70    -9999
KINGSTON   120517 300  151000-151500   00    -999.00 -999.0    206.50    -0.40    -9999
KINGSTON   120517 300  151500-152000   00    -999.00 -999.0    204.75    -1.30    -9999
KINGSTON   120517 300  152000-152500   00    -999.00 -999.0    205.78    -0.80    -9999
KINGSTON   120517 300  152500-153000   00    -999.00 -999.0    205.22    -1.10    -9999
KINGSTON   120517 300  153000-153500   00    -999.00 -999.0    205.48    -0.90    -9999
KINGSTON   120517 300  153500-154000   00    -999.00 -999.0    205.37    -1.00    -9999
KINGSTON   120517 300  154000-154500   00    -999.00 -999.0    206.23    -0.60    -9999
KINGSTON   120517 300  154500-155000   00    -999.00 -999.0    206.80    -0.30    -9999
KINGSTON   120517 300  155000-155500   00    -999.00 -999.0    204.85    -1.20    -9999
KINGSTON   120517 300  155500-160000   00    -999.00 -999.0    207.20    -0.10    -9999
KINGSTON   120517 300  160000-160500   00    -999.00 -999.0    206.00    -0.70    -9999
KINGSTON   120517 300  160500-161000   00    -999.00 -999.0    205.83    -0.80    -9999
KINGSTON   120517 300  161000-161500   00    -999.00 -999.0    204.25    -1.50    -9999
KINGSTON   120517 300  161500-162000   00    -999.00 -999.0    206.18    -0.60    -9999
KINGSTON   120517 300  162000-162500   00    -999.00 -999.0    204.87    -1.20    -9999
KINGSTON   120517 300  162500-163000   00    -999.00 -999.0    206.95    -0.20    -9999
KINGSTON   120517 300  163000-163500   00    -999.00 -999.0    207.83     0.20    -9999
KINGSTON   120517 300  163500-164000   00    -999.00 -999.0    207.50     0.00    -9999
KINGSTON   120517 300  164000-164500   00    -999.00 -999.0    206.52    -0.40    -9999
KINGSTON   120517 300  164500-165000   00    -999.00 -999.0    207.03    -0.20    -9999
KINGSTON   120517 300  165000-165500   00    -999.00 -999.0    207.05    -0.20    -9999
KINGSTON   120517 300  165500-170000   00    -999.00 -999.0    207.25    -0.10    -9999
KINGSTON   120517 300  170000-170500   00    -999.00 -999.0    206.15    -0.60    -9999
KINGSTON   120517 300  170500-171000   00    -999.00 -999.0    203.15    -2.10    -9999
KINGSTON   120517 300  171000-171500   00    -999.00 -999.0    205.65    -0.80    -9999
KINGSTON   120517 300  171500-172000   00    -999.00 -999.0    204.85    -1.20    -9999
KINGSTON   120517 300  172000-172500   00    -999.00 -999.0    206.55    -0.40    -9999
KINGSTON   120517 300  172500-173000   00    -999.00 -999.0    205.05    -1.10    -9999
KINGSTON   120517 300  173000-173500   00    -999.00 -999.0    205.28    -1.00    -9999
KINGSTON   120517 300  173500-174000   00    -999.00 -999.0    206.25    -0.60    -9999
