JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    352.70      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  120517 300  133500-134000   00     303.43  665.1    355.99     0.90    -9999
JUNGFRAU1  120517 300  134000-134500   00     304.73  665.1    357.48     1.40    -9999
JUNGFRAU1  120517 300  134500-135000   00     301.98  665.1    354.25     0.40    -9999
JUNGFRAU1  120517 300  135000-135500   00     304.04  665.2    356.90     1.20    -9999
JUNGFRAU1  120517 300  135500-140000   00     302.54  665.2    355.19     0.70    -9999
JUNGFRAU1  120517 300  140000-140500   00     300.93  665.1    353.13     0.10    -9999
JUNGFRAU1  120517 300  140500-141000   00     305.72  665.2    358.86     1.70    -9999
JUNGFRAU1  120517 300  141000-141500   00     307.20  665.2    360.52     2.20    -9999
JUNGFRAU1  120517 300  141500-142000   00     301.90  665.2    354.35     0.50    -9999
JUNGFRAU1  120517 300  142000-142500   00     301.84  665.1    354.14     0.40    -9999
JUNGFRAU1  120517 300  142500-143000   00     302.38  665.1    354.66     0.60    -9999
JUNGFRAU1  120517 300  143000-143500   00     302.92  665.1    355.33     0.70    -9999
JUNGFRAU1  120517 300  143500-144000   00     303.16  665.1    355.52     0.80    -9999
JUNGFRAU1  120517 300  144000-144500   00     302.33  665.0    354.51     0.50    -9999
JUNGFRAU1  120517 300  144500-145000   00     301.81  665.1    353.94     0.40    -9999
JUNGFRAU1  120517 300  145000-145500   00     302.84  665.1    355.17     0.70    -9999
JUNGFRAU1  120517 300  145500-150000   00     300.84  665.1    352.86     0.00    -9999
JUNGFRAU1  120517 300  150000-150500   00     301.24  665.0    353.23     0.20    -9999
JUNGFRAU1  120517 300  150500-151000   00     300.88  665.0    352.81     0.00    -9999
JUNGFRAU1  120517 300  151000-151500   00     301.02  665.0    352.88     0.10    -9999
JUNGFRAU1  120517 300  151500-152000   00     303.08  665.0    355.31     0.70    -9999
JUNGFRAU1  120517 300  152000-152500   00     298.71  665.0    350.13    -0.70    -9999
JUNGFRAU1  120517 300  152500-153000   00     303.47  664.9    355.63     0.80    -9999
JUNGFRAU1  120517 300  153000-153500   00     301.79  664.9    353.62     0.30    -9999
JUNGFRAU1  120517 300  153500-154000   00     301.90  665.0    353.90     0.30    -9999
JUNGFRAU1  120517 300  154000-154500   00     305.28  664.9    357.69     1.40    -9999
JUNGFRAU1  120517 300  154500-155000   00     301.99  664.9    353.79     0.30    -9999
JUNGFRAU1  120517 300  155000-155500   00     299.83  664.9    351.15    -0.40    -9999
JUNGFRAU1  120517 300  155500-160000   00     305.34  664.9    357.80     1.40    -9999
JUNGFRAU1  120517 300  160000-160500   00     299.14  664.9    350.42    -0.60    -9999
JUNGFRAU1  120517 300  160500-161000   00     302.24  664.9    354.06     0.40    -9999
JUNGFRAU1  120517 300  161000-161500   00     302.41  664.9    354.19     0.40    -9999
JUNGFRAU1  120517 300  161500-162000   00     300.83  664.9    352.25    -0.10    -9999
JUNGFRAU1  120517 300  162000-162500   00     301.05  664.8    352.50    -0.10    -9999
JUNGFRAU1  120517 300  162500-163000   00     302.97  664.8    354.68     0.60    -9999
JUNGFRAU1  120517 300  163000-163500   00     301.92  664.8    353.50     0.20    -9999
JUNGFRAU1  120517 300  163500-164000   00     299.95  664.8    351.06    -0.50    -9999
JUNGFRAU1  120517 300  164000-164500   00     301.02  664.8    352.47    -0.10    -9999
JUNGFRAU1  120517 300  164500-165000   00     300.62  664.7    351.74    -0.30    -9999
JUNGFRAU1  120517 300  165000-165500   00     299.57  664.8    350.73    -0.60    -9999
JUNGFRAU1  120517 300  165500-170000   00     301.79  664.9    353.48     0.20    -9999
JUNGFRAU1  120517 300  170000-170500   00     304.44  664.9    356.56     1.10    -9999
JUNGFRAU1  120517 300  170500-171000   00     300.14  664.8    351.39    -0.40    -9999
JUNGFRAU1  120517 300  171000-171500   00     299.81  664.8    350.89    -0.50    -9999
JUNGFRAU1  120517 300  171500-172000   00     297.95  664.8    348.74    -1.10    -9999
JUNGFRAU1  120517 300  172000-172500   00     301.40  664.8    352.79     0.00    -9999
JUNGFRAU1  120517 300  172500-173000   00     300.15  664.7    351.13    -0.40    -9999
JUNGFRAU1  120517 300  173000-173500   00     301.80  664.7    352.98     0.10    -9999
JUNGFRAU1  120517 300  173500-174000   00     300.67  664.7    351.60    -0.30    -9999
JUNGFRAU1  120517 300  174000-174500   00     297.99  664.7    348.49    -1.20    -9999
JUNGFRAU1  120517 300  174500-175000   00     304.54  664.6    355.91     0.90    -9999
JUNGFRAU1  120517 300  175000-175500   00     300.71  664.6    351.51    -0.30    -9999
JUNGFRAU1  120517 300  175500-180000   00     301.72  664.6    352.71     0.00    -9999
