SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120517 300  101500-102000   00     298.36  681.5    301.88     0.20    -9999
SOUTH POLE 120517 300  102000-102500   00     298.55  681.5    301.95     0.20    -9999
SOUTH POLE 120517 300  102500-103000   00     298.62  681.4    301.86     0.20    -9999
SOUTH POLE 120517 300  103000-103500   00     300.15  681.4    303.38     0.70    -9999
SOUTH POLE 120517 300  103500-104000   00     301.60  681.4    304.80     1.10    -9999
SOUTH POLE 120517 300  104000-104500   00     298.12  681.3    301.22    -0.10    -9999
SOUTH POLE 120517 300  104500-105000   00     298.87  681.3    301.91     0.20    -9999
SOUTH POLE 120517 300  105000-105500   00     299.34  681.3    302.31     0.30    -9999
SOUTH POLE 120517 300  105500-110000   00     298.27  681.3    301.18    -0.10    -9999
SOUTH POLE 120517 300  110000-110500   00     299.95  681.2    302.83     0.50    -9999
SOUTH POLE 120517 300  110500-111000   00     300.14  681.2    302.95     0.50    -9999
SOUTH POLE 120517 300  111000-111500   00     297.51  681.2    300.19    -0.40    -9999
SOUTH POLE 120517 300  111500-112000   00     299.38  681.1    301.96     0.20    -9999
SOUTH POLE 120517 300  112000-112500   00     301.33  681.1    303.87     0.80    -9999
SOUTH POLE 120517 300  112500-113000   00     296.74  681.0    299.13    -0.70    -9999
SOUTH POLE 120517 300  113000-113500   00     303.22  681.0    305.55     1.40    -9999
SOUTH POLE 120517 300  113500-114000   00     301.32  681.0    303.59     0.70    -9999
SOUTH POLE 120517 300  114000-114500   00     299.48  681.0    301.80     0.10    -9999
SOUTH POLE 120517 300  114500-115000   00     301.40  681.0    303.78     0.80    -9999
SOUTH POLE 120517 300  115000-115500   00     301.77  681.0    304.16     0.90    -9999
SOUTH POLE 120517 300  115500-120000   00     301.43  681.0    303.81     0.80    -9999
SOUTH POLE 120517 300  120000-120500   00     302.09  681.0    304.40     1.00    -9999
SOUTH POLE 120517 300  120500-121000   00     301.29  680.9    303.48     0.70    -9999
SOUTH POLE 120517 300  121000-121500   00     301.40  680.9    303.47     0.70    -9999
SOUTH POLE 120517 300  121500-122000   00     301.34  680.8    303.31     0.60    -9999
SOUTH POLE 120517 300  122000-122500   00     302.91  680.8    304.89     1.20    -9999
SOUTH POLE 120517 300  122500-123000   00     303.39  680.9    305.42     1.30    -9999
SOUTH POLE 120517 300  123000-123500   00     303.39  680.8    305.35     1.30    -9999
SOUTH POLE 120517 300  123500-124000   00     303.20  680.7    305.01     1.20    -9999
SOUTH POLE 120517 300  124000-124500   00     304.40  680.7    306.09     1.60    -9999
SOUTH POLE 120517 300  124500-125000   00     304.37  680.6    305.94     1.50    -9999
SOUTH POLE 120517 300  125000-125500   00     302.39  680.6    303.87     0.80    -9999
SOUTH POLE 120517 300  125500-130000   00     303.63  680.5    304.98     1.20    -9999
SOUTH POLE 120517 300  130000-130500   00     304.58  680.5    305.78     1.50    -9999
SOUTH POLE 120517 300  130500-131000   00     303.35  680.4    304.47     1.00    -9999
SOUTH POLE 120517 300  131000-131500   00     302.25  680.4    303.28     0.60    -9999
SOUTH POLE 120517 300  131500-132000   00     305.15  680.4    306.16     1.60    -9999
SOUTH POLE 120517 300  132000-132500   00     304.37  680.4    305.43     1.30    -9999
SOUTH POLE 120517 300  132500-133000   00     307.17  680.4    308.21     2.30    -9999
