TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     99.34      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  120517 300  153500-154000   00     105.52 1000.7     97.92    -1.40    -9999
TIXIE BAY  120517 300  154000-154500   00     106.91 1000.8     99.25    -0.10    -9999
TIXIE BAY  120517 300  154500-155000   00     108.11 1000.8    100.37     1.00    -9999
TIXIE BAY  120517 300  155000-155500   00     106.13 1000.8     98.56    -0.80    -9999
TIXIE BAY  120517 300  155500-160000   00     105.25 1000.8     97.76    -1.60    -9999
TIXIE BAY  120517 300  160000-160500   00     106.24 1000.9     98.72    -0.60    -9999
TIXIE BAY  120517 300  160500-161000   00     104.21 1000.9     96.85    -2.50    -9999
TIXIE BAY  120517 300  161000-161500   00     106.24 1000.9     98.75    -0.60    -9999
TIXIE BAY  120517 300  161500-162000   00     107.12 1001.0     99.57     0.20    -9999
TIXIE BAY  120517 300  162000-162500   00     107.41 1001.0     99.87     0.50    -9999
TIXIE BAY  120517 300  162500-163000   00     106.27 1001.0     98.80    -0.50    -9999
TIXIE BAY  120517 300  163000-163500   00     104.64 1001.0     97.28    -2.10    -9999
TIXIE BAY  120517 300  163500-164000   00     106.11 1001.0     98.69    -0.70    -9999
TIXIE BAY  120517 300  164000-164500   00     107.15 1001.1     99.65     0.30    -9999
TIXIE BAY  120517 300  164500-165000   00     107.79 1001.1    100.29     1.00    -9999
TIXIE BAY  120517 300  165000-165500   00     105.79 1001.2     98.48    -0.90    -9999
TIXIE BAY  120517 300  165500-170000   00     105.76 1001.3     98.59    -0.80    -9999
TIXIE BAY  120517 300  170000-170500   00     105.71 1001.4     98.59    -0.80    -9999
TIXIE BAY  120517 300  170500-171000   00     106.32 1001.4     99.20    -0.10    -9999
TIXIE BAY  120517 300  171000-171500   00     106.21 1001.5     99.09    -0.30    -9999
TIXIE BAY  120517 300  171500-172000   00     107.15 1001.6    100.08     0.70    -9999
TIXIE BAY  120517 300  172000-172500   00     106.21 1001.6     99.20    -0.10    -9999
TIXIE BAY  120517 300  172500-173000   00     107.09 1001.6    100.03     0.70    -9999
TIXIE BAY  120517 300  173000-173500   00     106.03 1001.7     99.07    -0.30    -9999
TIXIE BAY  120517 300  173500-174000   00     106.61 1001.7     99.60     0.30    -9999
TIXIE BAY  120517 300  174000-174500   00     106.64 1001.7     99.65     0.30    -9999
TIXIE BAY  120517 300  174500-175000   00     105.41 1001.7     98.53    -0.80    -9999
TIXIE BAY  120517 300  175000-175500   00     105.39 1001.7     98.51    -0.80    -9999
TIXIE BAY  120517 300  175500-180000   00     104.21 1001.7     97.41    -1.90    -9999
TIXIE BAY  120517 300  180000-180500   00     105.12 1001.8     98.29    -1.10    -9999
TIXIE BAY  120517 300  180500-181000   00     106.85 1001.9    100.00     0.70    -9999
TIXIE BAY  120517 300  181000-181500   00     105.81 1001.9     99.07    -0.30    -9999
TIXIE BAY  120517 300  181500-182000   00     104.21 1001.9     97.60    -1.80    -9999
