KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18-NM-64   IQSY 18 Section Neutron Monitor	
KINGSTON   STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    204.42      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KINGSTON   061213 300  165000-165500   00     226.22  996.5    200.99    -1.70    -9999
KINGSTON   061213 300  165500-170000   00     227.93  996.5    202.51    -0.90    -9999
KINGSTON   061213 300  170000-170500   00     227.84  996.4    202.28    -1.00    -9999
KINGSTON   061213 300  170500-171000   00     228.42  996.3    202.64    -0.90    -9999
KINGSTON   061213 300  171000-171500   00     228.66  996.3    202.80    -0.80    -9999
KINGSTON   061213 300  171500-172000   00     229.72  996.2    203.59    -0.40    -9999
KINGSTON   061213 300  172000-172500   00     229.47  996.0    203.19    -0.60    -9999
KINGSTON   061213 300  172500-173000   00     228.97  995.9    202.54    -0.90    -9999
KINGSTON   061213 300  173000-173500   00     229.50  995.8    202.86    -0.80    -9999
KINGSTON   061213 300  173500-174000   00     228.99  995.8    202.38    -1.00    -9999
KINGSTON   061213 300  174000-174500   00     229.03  995.8    202.44    -1.00    -9999
KINGSTON   061213 300  174500-175000   00     228.51  995.7    201.86    -1.30    -9999
KINGSTON   061213 300  175000-175500   00     228.93  995.7    202.20    -1.10    -9999
KINGSTON   061213 300  175500-180000   00     228.05  995.7    201.37    -1.50    -9999
KINGSTON   061213 300  180000-180500   00     227.28  995.6    200.54    -1.90    -9999
KINGSTON   061213 300  180500-181000   00     231.76  995.5    204.40     0.00    -9999
KINGSTON   061213 300  181000-181500   00     229.17  995.4    202.00    -1.20    -9999
KINGSTON   061213 300  181500-182000   00     228.87  995.4    201.70    -1.30    -9999
KINGSTON   061213 300  182000-182500   00     230.82  995.3    203.33    -0.50    -9999
KINGSTON   061213 300  182500-183000   00     228.23  995.3    200.99    -1.70    -9999
KINGSTON   061213 300  183000-183500   00     232.09  995.2    204.24    -0.10    -9999
KINGSTON   061213 300  183500-184000   00     230.56  995.1    202.71    -0.80    -9999
KINGSTON   061213 300  184000-184500   00     228.58  995.0    200.88    -1.70    -9999
KINGSTON   061213 300  184500-185000   00     230.21  995.0    202.22    -1.10    -9999
KINGSTON   061213 300  185000-185500   00     227.70  994.9    199.93    -2.20    -9999
KINGSTON   061213 300  185500-190000   00     229.34  994.9    201.37    -1.50    -9999
KINGSTON   061213 300  190000-190500   00     229.38  994.9    201.41    -1.50    -9999
KINGSTON   061213 300  190500-191000   00     230.46  994.8    202.23    -1.10    -9999
KINGSTON   061213 300  191000-191500   00     230.35  994.8    202.11    -1.10    -9999
KINGSTON   061213 300  191500-192000   00     231.04  994.7    202.59    -0.90    -9999
KINGSTON   061213 300  192000-192500   00     231.46  994.7    202.87    -0.80    -9999
KINGSTON   061213 300  192500-193000   00     231.63  994.5    202.81    -0.80    -9999
KINGSTON   061213 300  193000-193500   00     228.68  994.5    200.17    -2.10    -9999
KINGSTON   061213 300  193500-194000   00     233.22  994.4    204.08    -0.20    -9999
KINGSTON   061213 300  194000-194500   00     232.67  994.3    203.42    -0.50    -9999
KINGSTON   061213 300  194500-195000   00     231.15  994.2    201.91    -1.20    -9999
KINGSTON   061213 300  195000-195500   00     230.14  994.1    200.94    -1.70    -9999
KINGSTON   061213 300  195500-200000   00     231.93  994.1    202.44    -1.00    -9999
KINGSTON   061213 300  200000-200500   00     231.58  994.1    202.11    -1.10    -9999
KINGSTON   061213 300  200500-201000   00     229.76  994.0    200.40    -2.00    -9999
KINGSTON   061213 300  201000-201500   00     230.72  993.9    201.12    -1.60    -9999
KINGSTON   061213 300  201500-202000   00     234.00  993.9    203.92    -0.20    -9999
KINGSTON   061213 300  202000-202500   00     231.69  993.8    201.84    -1.30    -9999
KINGSTON   061213 300  202500-203000   00     234.19  993.7    203.84    -0.30    -9999
KINGSTON   061213 300  203000-203500   00     233.04  993.7    202.84    -0.80    -9999
KINGSTON   061213 300  203500-204000   00     234.50  993.6    203.96    -0.20    -9999
KINGSTON   061213 300  204000-204500   00     231.55  993.6    201.43    -1.50    -9999
KINGSTON   061213 300  204500-205000   00     234.53  993.7    204.08    -0.20    -9999
KINGSTON   061213 300  205000-205500   00     233.85  993.6    203.40    -0.50    -9999
