PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1021.1  MB     COEFFICIENT   -0.74     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    174.81      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  010415 300  231500-232000   00     181.77 1021.3    182.07     4.10     2.62
PEAWANUCK  010415 300  232000-232500   00     180.79 1021.3    181.10     3.60     2.11
PEAWANUCK  010415 300  232500-233000   00     182.46 1021.3    182.81     4.60     3.10
PEAWANUCK  010415 300  233000-233500   00     181.97 1021.3    182.33     4.30     2.79
PEAWANUCK  010415 300  233500-234000   00     179.94 1021.4    180.32     3.20     1.68
PEAWANUCK  010415 300  234000-234500   00     182.30 1021.4    182.71     4.50     2.97
PEAWANUCK  010415 300  234500-235000   00     183.55 1021.4    183.99     5.20     3.66
PEAWANUCK  010415 300  235000-235500   00     182.11 1021.4    182.57     4.40     2.85
PEAWANUCK  010415 300  235500-240000   00     181.20 1021.4    181.69     3.90     2.34
PEAWANUCK  010416 3600 000000-010000   00     180.67 1021.6    181.38     3.80     2.17
PEAWANUCK  010416 3600 010000-020000   00     179.50 1021.9    180.57     3.30     1.55
PEAWANUCK  010416 3600 020000-030000   00     179.61 1021.9    180.68     3.40     1.53
PEAWANUCK  010416 3600 030000-040000   00     179.42 1021.7    180.31     3.10     1.11
PEAWANUCK  010416 3600 040000-050000   00     178.83 1021.6    179.54     2.70     0.59
PEAWANUCK  010416 3600 050000-060000   00     178.00 1021.5    178.53     2.10    -0.13
PEAWANUCK  010416 3600 060000-070000   00     178.42 1021.5    178.95     2.40    -9999
PEAWANUCK  010416 3600 070000-080000   00     178.89 1021.3    179.24     2.50    -9999
PEAWANUCK  010416 3600 080000-090000   00     178.89 1021.3    179.24     2.50    -9999
PEAWANUCK  010416 3600 090000-100000   00     179.17 1021.3    179.52     2.70    -9999
PEAWANUCK  010416 3600 100000-110000   00     178.47 1021.5    179.00     2.40    -9999
PEAWANUCK  010416 3600 110000-120000   00     179.17 1021.6    179.88     2.90    -9999
PEAWANUCK  010416 3600 120000-130000   00     179.42 1021.6    180.13     3.00    -9999
PEAWANUCK  010416 3600 130000-140000   00     178.89 1021.6    179.60     2.70    -9999
PEAWANUCK  010416 3600 140000-150000   00     179.31 1021.5    179.84     2.90    -9999
PEAWANUCK  010416 3600 150000-160000   00     178.53 1021.3    178.88     2.30    -9999
PEAWANUCK  010416 3600 160000-170000   00     179.78 1021.2    179.96     2.90    -9999
PEAWANUCK  010416 3600 170000-180000   00     180.17 1021.1    180.17     3.10    -9999
PEAWANUCK  010416 3600 180000-190000   00     180.94 1020.9    180.77     3.40    -9999
PEAWANUCK  010416 3600 190000-200000   00     182.19 1020.4    181.29     3.70    -9999
PEAWANUCK  010416 3600 200000-210000   00     182.67 1020.1    181.41     3.80    -9999
PEAWANUCK  010416 3600 210000-220000   00     184.36 1019.7    182.54     4.40    -9999
PEAWANUCK  010416 3600 220000-230000   00     184.56 1019.6    182.56     4.40    -9999
PEAWANUCK  010416 3600 230000-240000   00     183.61 1020.1    182.34     4.30    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060PWNK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
