MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    30 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.739    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE    240.49      COUNTS PER SECOND
MAWSON     TIME INTERVALS    300         3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     061213 300  184000-184500   00     260.32  979.8    241.42     0.40     0.40
MAWSON     061213 300  184500-185000   00     259.96  979.8    241.09     0.20     0.20
MAWSON     061213 300  185000-185500   00     258.30  979.8    239.55    -0.40    -0.40
MAWSON     061213 300  185500-190000   00     260.14  979.9    241.36     0.40     0.40
MAWSON     061213 300  190000-190500   00     261.87  979.9    243.04     1.10     1.10
MAWSON     061213 300  190500-191000   00     260.32  979.9    241.60     0.50     0.50
MAWSON     061213 300  191000-191500   00     260.47  979.9    241.74     0.50     0.50
MAWSON     061213 300  191500-192000   00     259.65  979.9    240.98     0.20     0.20
MAWSON     061213 300  192000-192500   00     261.63  980.0    242.92     1.00     1.00
MAWSON     061213 300  192500-193000   00     260.24  980.0    241.70     0.50     0.50
MAWSON     061213 300  193000-193500   00     260.93  980.0    242.34     0.80     0.80
MAWSON     061213 300  193500-194000   00     257.58  980.0    239.23    -0.50    -0.50
MAWSON     061213 300  194000-194500   00     259.66  980.0    241.16     0.30     0.30
MAWSON     061213 300  194500-195000   00     257.39  980.0    239.06    -0.60    -0.60
MAWSON     061213 300  195000-195500   00     258.94  980.0    240.50     0.00     0.00
MAWSON     061213 300  195500-200000   00     261.92  980.0    243.26     1.20     1.20
MAWSON     061213 300  200000-200500   00     260.14  980.0    241.68     0.50    -9999
MAWSON     061213 300  200500-201000   00     256.10  980.1    237.99    -1.00    -9999
MAWSON     061213 300  201000-201500   00     260.12  980.1    241.77     0.50    -9999
MAWSON     061213 300  201500-202000   00     257.55  980.1    239.38    -0.50    -9999
MAWSON     061213 300  202000-202500   00     258.15  980.2    240.04    -0.20    -9999
MAWSON     061213 300  202500-203000   00     260.55  980.1    242.24     0.70    -9999
MAWSON     061213 300  203000-203500   00     258.43  980.1    240.19    -0.10    -9999
MAWSON     061213 300  203500-204000   00     255.73  980.2    237.79    -1.10    -9999
MAWSON     061213 300  204000-204500   00     260.34  980.1    241.98     0.60    -9999
MAWSON     061213 300  204500-205000   00     257.40  980.2    239.42    -0.40    -9999
MAWSON     061213 300  205000-205500   00     259.54  980.2    241.44     0.40    -9999
MAWSON     061213 300  205500-210000   00     258.60  980.3    240.67     0.10    -9999
MAWSON     061213 300  210000-210500   00     259.60  980.3    241.60     0.50    -9999
MAWSON     061213 300  210500-211000   00     258.27  980.3    240.40     0.00    -9999
MAWSON     061213 300  211000-211500   00     256.91  980.3    239.14    -0.60    -9999
MAWSON     061213 300  211500-212000   00     258.14  980.3    240.28    -0.10    -9999
MAWSON     061213 300  212000-212500   00     259.96  980.3    241.97     0.60    -9999
MAWSON     061213 300  212500-213000   00     255.03  980.3    237.39    -1.30    -9999
MAWSON     061213 300  213000-213500   00     259.08  980.4    241.27     0.30    -9999
MAWSON     061213 300  213500-214000   00     258.28  980.5    240.74     0.10    -9999
MAWSON     061213 300  214000-214500   00     256.85  980.5    239.44    -0.40    -9999
MAWSON     061213 300  214500-215000   00     258.21  980.5    240.71     0.10    -9999
MAWSON     061213 300  215000-215500   00     257.64  980.5    240.17    -0.10    -9999
MAWSON     061213 300  215500-220000   00     260.36  980.5    242.71     0.90    -9999
MAWSON     061213 300  220000-220500   00     260.11  980.5    242.48     0.80    -9999
MAWSON     061213 300  220500-221000   00     256.91  980.5    239.50    -0.40    -9999
MAWSON     061213 300  221000-221500   00     257.88  980.5    240.40     0.00    -9999
MAWSON     061213 300  221500-222000   00     259.05  980.5    241.49     0.40    -9999
MAWSON     061213 300  222000-222500   00     257.98  980.5    240.42     0.00    -9999
MAWSON     061213 300  222500-223000   00     255.92  980.4    238.39    -0.90    -9999
MAWSON     061213 300  223000-223500   00     257.58  980.4    239.94    -0.20    -9999
MAWSON     061213 300  223500-224000   00     258.90  980.4    241.10     0.30    -9999
MAWSON     061213 300  224000-224500   00     257.35  980.3    239.58    -0.40    -9999
MAWSON     061213 300  224500-225000   00     258.38  980.3    240.58     0.00    -9999
MAWSON     061213 300  225000-225500   00     257.33  980.4    239.74    -0.30    -9999
MAWSON     061213 300  225500-230000   00     257.95  980.5    240.39     0.00    -9999
MAWSON     061213 300  230000-230500   00     258.68  980.5    241.18     0.30    -9999
MAWSON     061213 300  230500-231000   00     256.03  980.5    238.74    -0.70    -9999
MAWSON     061213 300  231000-231500   00     259.47  980.6    242.06     0.70    -9999
MAWSON     061213 300  231500-232000   00     257.47  980.7    240.33    -0.10    -9999
