YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1003    mb     COEFFICIENT   -0.715    % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    210.77      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    061213 300  190900-191400   00     201.62 1008.9    210.24    -0.30    -9999
YAKUTSK    061213 300  191400-191900   00     200.40 1008.8    208.90    -0.90    -9999
YAKUTSK    061213 300  191900-192400   00     197.38 1008.9    205.90    -2.30    -9999
YAKUTSK    061213 300  192400-192900   00     198.34 1009.0    207.02    -1.80    -9999
YAKUTSK    061213 300  192900-193400   00     200.32 1009.0    209.06    -0.80    -9999
YAKUTSK    061213 300  193400-193900   00     200.30 1008.9    208.90    -0.90    -9999
YAKUTSK    061213 300  193900-194400   00     199.52 1008.9    208.12    -1.30    -9999
YAKUTSK    061213 300  194400-194900   00     200.44 1008.9    209.08    -0.80    -9999
YAKUTSK    061213 300  194900-195400   00     200.54 1009.0    209.26    -0.70    -9999
YAKUTSK    061213 300  195400-195900   00     199.14 1009.1    207.98    -1.30    -9999
YAKUTSK    061213 300  195900-200400   00     197.14 1009.1    205.94    -2.30    -9999
YAKUTSK    061213 300  200400-200900   00     198.68 1009.1    207.52    -1.50    -9999
YAKUTSK    061213 300  200900-201400   00     200.18 1009.2    209.20    -0.70    -9999
YAKUTSK    061213 300  201400-201900   00     198.70 1009.2    207.70    -1.50    -9999
YAKUTSK    061213 300  201900-202400   00     198.56 1009.2    207.56    -1.50    -9999
YAKUTSK    061213 300  202400-202900   00     197.88 1009.3    206.98    -1.80    -9999
YAKUTSK    061213 300  202900-203400   00     199.18 1009.3    208.36    -1.10    -9999
YAKUTSK    061213 300  203400-203900   00     197.54 1009.4    206.76    -1.90    -9999
YAKUTSK    061213 300  203900-204400   00     198.48 1009.4    207.76    -1.40    -9999
YAKUTSK    061213 300  204400-204900   00     197.12 1009.5    206.44    -2.10    -9999
YAKUTSK    061213 300  204900-205400   00     199.82 1009.5    209.32    -0.70    -9999
YAKUTSK    061213 300  205400-205900   00     199.86 1009.4    209.24    -0.70    -9999
YAKUTSK    061213 300  205900-210400   00     200.14 1009.5    209.62    -0.50    -9999
YAKUTSK    061213 300  210400-210900   00     198.70 1009.5    208.14    -1.20    -9999
