CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    885     mb     COEFFICIENT   -0.73     % / mb
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    263.82      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
CALGARY    031029 300  022500-023000   00     327.30  866.0    284.91     8.00     7.06
CALGARY    031029 300  023000-023500   00     328.18  866.0    285.68     8.30     7.36
CALGARY    031029 300  023500-024000   00     329.48  866.0    286.81     8.70     7.75
CALGARY    031029 300  024000-024500   00     325.73  866.0    283.54     7.50     6.55
CALGARY    031029 300  024500-025000   00     326.90  866.0    284.56     7.90     6.94
CALGARY    031029 300  025000-025500   00     324.20  866.0    282.21     7.00     6.04
CALGARY    031029 300  025500-030000   00     325.63  866.0    283.46     7.40     6.44
CALGARY    031029 300  030000-030500   00     327.78  866.0    285.33     8.20     7.23
CALGARY    031029 300  030500-031000   00     323.57  866.0    281.66     6.80     5.83
CALGARY    031029 300  031000-031500   00     326.87  866.0    284.54     7.90     6.92
CALGARY    031029 300  031500-032000   00     328.45  866.0    285.91     8.40     7.42
CALGARY    031029 300  032000-032500   00     324.90  866.0    282.82     7.20     6.21
CALGARY    031029 300  032500-033000   00     327.27  866.0    284.88     8.00     7.01
CALGARY    031029 300  033000-033500   00     322.12  867.0    282.46     7.10     6.11
CALGARY    031029 300  033500-034000   00     322.58  867.0    282.86     7.20     6.20
CALGARY    031029 300  034000-034500   00     322.67  867.0    282.94     7.20     6.20
CALGARY    031029 300  034500-035000   00     322.67  867.0    282.94     7.20     6.19
CALGARY    031029 300  035000-035500   00     324.33  867.0    284.39     7.80     6.79
CALGARY    031029 300  035500-040000   00     323.77  867.0    283.90     7.60     6.58
CALGARY    031029 300  040000-040500   00     328.98  867.0    288.47     9.30     8.28
CALGARY    031029 300  040500-041000   00     327.43  867.0    287.11     8.80     7.78
CALGARY    031029 300  041000-041500   00     323.83  867.0    283.96     7.60     6.57
CALGARY    031029 300  041500-042000   00     320.88  867.0    281.37     6.70     5.67
CALGARY    031029 300  042000-042500   00     321.02  867.0    281.49     6.70     5.66
CALGARY    031029 300  042500-043000   00     321.32  867.0    281.75     6.80     5.76
CALGARY    031029 300  043000-043500   00     321.48  868.0    283.96     7.60     6.55
CALGARY    031029 300  043500-044000   00     324.57  868.0    286.69     8.70     7.65
CALGARY    031029 300  044000-044500   00     321.65  868.0    284.11     7.70     6.65
CALGARY    031029 300  044500-045000   00     321.72  868.0    284.17     7.70     6.64
CALGARY    031029 300  045000-045500   00     321.95  868.0    284.38     7.80     6.74
CALGARY    031029 300  045500-050000   00     317.80  868.0    280.71     6.40     5.33
CALGARY    031029 300  050000-050500   00     319.88  868.0    282.55     7.10     6.03
CALGARY    031029 300  050500-051000   00     318.62  868.0    281.43     6.70     5.63
CALGARY    031029 300  051000-051500   00     321.05  868.0    283.58     7.50     6.42
CALGARY    031029 300  051500-052000   00     320.02  868.0    282.67     7.10     6.02
CALGARY    031029 300  052000-052500   00     317.90  868.0    280.80     6.40     5.31
CALGARY    031029 300  052500-053000   00     321.62  868.0    284.08     7.70     6.61
CALGARY    031029 300  053000-053500   00     318.45  869.0    283.35     7.40     6.30
CALGARY    031029 300  053500-054000   00     322.15  869.0    286.64     8.60     7.50
CALGARY    031029 300  054000-054500   00     315.63  869.0    280.84     6.50     5.40
CALGARY    031029 300  054500-055000   00     317.07  869.0    282.12     6.90     5.79
CALGARY    031029 300  055000-055500   00     319.28  869.0    284.08     7.70     6.59
CALGARY    031029 300  055500-060000   00     317.43  869.0    282.44     7.10     5.98
CALGARY    031029 300  060000-060500   00     316.47  869.0    281.58     6.70     5.58
CALGARY    031029 300  060500-061000   00     315.63  869.0    280.84     6.50     5.37
CALGARY    031029 300  061000-061500   00     314.00  869.0    279.39     5.90     4.77
CALGARY    031029 300  061500-062000   00     313.12  870.0    280.64     6.40     5.27
CALGARY    031029 300  062000-062500   00     309.68  870.0    277.56     5.20     4.06
CALGARY    031029 300  062500-063000   00     310.38  870.0    278.19     5.40     4.26
CALGARY    031029 300  063000-063500   00     310.52  870.0    278.31     5.50     4.35
CALGARY    031029 300  063500-064000   00     306.00  870.0    274.26     4.00     2.85
CALGARY    031029 300  064000-064500   00     306.33  870.0    274.56     4.10     2.94
CALGARY    031029 300  064500-065000   00     298.60  871.0    269.59     2.20     1.04
CALGARY    031029 300  065000-065500   00     299.95  871.0    270.81     2.60     1.44
CALGARY    031029 300  065500-070000   00     297.33  871.0    268.44     1.80     0.63
