IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    428.23      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   120517 300  125500-130000   00     428.80  714.4    427.00    -0.30    -9999
IRKUTSK3   120517 300  130000-130500   00     425.40  714.5    424.20    -0.90    -9999
IRKUTSK3   120517 300  130500-131000   00     424.80  714.5    423.40    -1.10    -9999
IRKUTSK3   120517 300  131000-131500   00     424.40  714.7    423.40    -1.10    -9999
IRKUTSK3   120517 300  131500-132000   00     425.60  714.7    424.60    -0.80    -9999
IRKUTSK3   120517 300  132000-132500   00     424.60  714.7    424.00    -1.00    -9999
IRKUTSK3   120517 300  132500-133000   00     425.80  714.8    425.00    -0.80    -9999
IRKUTSK3   120517 300  133000-133500   00     423.40  714.8    422.80    -1.30    -9999
IRKUTSK3   120517 300  133500-134000   00     428.00  714.9    427.60    -0.10    -9999
IRKUTSK3   120517 300  134000-134500   00     423.80  715.0    423.80    -1.00    -9999
IRKUTSK3   120517 300  134500-135000   00     421.80  715.0    421.80    -1.50    -9999
IRKUTSK3   120517 300  135000-135500   00     424.60  715.0    424.60    -0.80    -9999
IRKUTSK3   120517 300  135500-140000   00     424.60  715.1    424.60    -0.80    -9999
IRKUTSK3   120517 300  140000-140500   00     423.60  715.1    423.80    -1.00    -9999
IRKUTSK3   120517 300  140500-141000   00     427.60  715.1    428.40     0.00    -9999
IRKUTSK3   120517 300  141000-141500   00     423.00  715.2    423.80    -1.00    -9999
IRKUTSK3   120517 300  141500-142000   00     425.60  715.2    426.20    -0.50    -9999
IRKUTSK3   120517 300  142000-142500   00     426.80  715.2    427.40    -0.20    -9999
IRKUTSK3   120517 300  142500-143000   00     423.20  715.2    424.00    -1.00    -9999
IRKUTSK3   120517 300  143000-143500   00     422.80  715.2    423.60    -1.10    -9999
IRKUTSK3   120517 300  143500-144000   00     426.20  715.3    427.20    -0.20    -9999
IRKUTSK3   120517 300  144000-144500   00     423.00  715.3    424.00    -1.00    -9999
IRKUTSK3   120517 300  144500-145000   00     425.80  715.3    426.40    -0.40    -9999
IRKUTSK3   120517 300  145000-145500   00     421.60  715.3    422.40    -1.40    -9999
IRKUTSK3   120517 300  145500-150000   00     424.80  715.4    426.20    -0.50    -9999
IRKUTSK3   120517 300  150000-150500   00     427.20  715.3    428.00    -0.10    -9999
IRKUTSK3   120517 300  150500-151000   00     424.80  715.4    426.00    -0.50    -9999
IRKUTSK3   120517 300  151000-151500   00     424.60  715.3    425.60    -0.60    -9999
IRKUTSK3   120517 300  151500-152000   00     420.00  715.3    421.20    -1.60    -9999
IRKUTSK3   120517 300  152000-152500   00     422.40  715.4    423.40    -1.10    -9999
IRKUTSK3   120517 300  152500-153000   00     425.20  715.4    426.80    -0.30    -9999
IRKUTSK3   120517 300  153000-153500   00     421.80  715.5    423.40    -1.10    -9999
IRKUTSK3   120517 300  153500-154000   00     423.80  715.5    425.00    -0.80    -9999
IRKUTSK3   120517 300  154000-154500   00     423.40  715.5    424.80    -0.80    -9999
IRKUTSK3   120517 300  154500-155000   00     425.20  715.5    426.40    -0.40    -9999
IRKUTSK3   120517 300  155000-155500   00     424.80  715.5    426.40    -0.40    -9999
IRKUTSK3   120517 300  155500-160000   00     425.00  715.4    426.40    -0.40    -9999
IRKUTSK3   120517 300  160000-160500   00     424.20  715.5    425.40    -0.70    -9999
IRKUTSK3   120517 300  160500-161000   00     423.60  715.5    425.40    -0.70    -9999
IRKUTSK3   120517 300  161000-161500   00     421.80  715.5    423.20    -1.20    -9999
IRKUTSK3   120517 300  161500-162000   00     421.60  715.6    423.40    -1.10    -9999
IRKUTSK3   120517 300  162000-162500   00     424.00  715.6    425.60    -0.60    -9999
IRKUTSK3   120517 300  162500-163000   00     423.60  715.5    425.40    -0.70    -9999
IRKUTSK3   120517 300  163000-163500   00     422.00  715.6    424.00    -1.00    -9999
IRKUTSK3   120517 300  163500-164000   00     424.80  715.7    426.80    -0.30    -9999
IRKUTSK3   120517 300  164000-164500   00     420.60  715.7    422.60    -1.30    -9999
IRKUTSK3   120517 300  164500-165000   00     419.00  715.7    421.40    -1.60    -9999
IRKUTSK3   120517 300  165000-165500   00     419.80  715.8    422.40    -1.40    -9999
IRKUTSK3   120517 300  165500-170000   00     422.60  715.8    425.20    -0.70    -9999
IRKUTSK3   120517 300  170000-170500   00     422.80  715.8    425.00    -0.80    -9999
IRKUTSK3   120517 300  170500-171000   00     422.80  715.8    425.40    -0.70    -9999
IRKUTSK3   120517 300  171000-171500   00     422.60  715.8    424.80    -0.80    -9999
IRKUTSK3   120517 300  171500-172000   00     421.20  715.8    423.80    -1.00    -9999
IRKUTSK3   120517 300  172000-172500   00     421.40  715.8    423.60    -1.10    -9999
IRKUTSK3   120517 300  172500-173000   00     419.40  715.8    421.80    -1.50    -9999
IRKUTSK3   120517 300  173000-173500   00     423.60  715.8    426.40    -0.40    -9999
IRKUTSK3   120517 300  173500-174000   00     420.20  715.7    422.20    -1.40    -9999
IRKUTSK3   120517 300  174000-174500   00     420.60  715.7    422.80    -1.30    -9999
IRKUTSK3   120517 300  174500-175000   00     421.80  715.7    423.80    -1.00    -9999
IRKUTSK3   120517 300  175000-175500   00     421.60  715.8    424.00    -1.00    -9999
IRKUTSK3   120517 300  175500-180000   00     420.40  715.8    422.60    -1.30    -9999
IRKUTSK3   120517 300  180000-180500   00     423.40  715.8    426.20    -0.50    -9999
IRKUTSK3   120517 300  180500-181000   00     423.00  715.8    425.60    -0.60    -9999
IRKUTSK3   120517 300  181000-181500   00     419.80  715.7    422.00    -1.50    -9999
IRKUTSK3   120517 300  181500-182000   00     423.20  715.7    425.40    -0.70    -9999
IRKUTSK3   120517 300  182000-182500   00     421.60  715.7    423.60    -1.10    -9999
IRKUTSK3   120517 300  182500-183000   00     422.20  715.6    424.20    -0.90    -9999
