HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031029 300  021000-021500   00     114.70 1010.8    113.41     3.00    -9999
HERMANUS   031029 300  021500-022000   00     114.66 1010.8    113.39     2.90    -9999
HERMANUS   031029 300  022000-022500   00     115.56 1010.8    114.31     3.80    -9999
HERMANUS   031029 300  022500-023000   00     115.81 1010.8    114.57     4.00    -9999
HERMANUS   031029 300  023000-023500   00     115.68 1010.9    114.46     3.90    -9999
HERMANUS   031029 300  023500-024000   00     115.18 1010.9    114.00     3.50    -9999
HERMANUS   031029 300  024000-024500   00     115.71 1010.9    114.54     4.00    -9999
HERMANUS   031029 300  024500-025000   00     113.09 1010.9    111.97     1.70    -9999
HERMANUS   031029 300  025000-025500   00     113.67 1011.0    112.56     2.20    -9999
HERMANUS   031029 300  025500-030000   00     115.27 1011.0    114.17     3.70    -9999
HERMANUS   031029 300  030000-030500   00     113.58 1011.0    112.52     2.10    -9999
HERMANUS   031029 300  030500-031000   00     115.24 1011.1    114.20     3.70    -9999
HERMANUS   031029 300  031000-031500   00     114.63 1011.1    113.63     3.20    -9999
HERMANUS   031029 300  031500-032000   00     113.17 1011.1    112.21     1.90    -9999
HERMANUS   031029 300  032000-032500   00     112.07 1011.2    111.16     0.90    -9999
HERMANUS   031029 300  032500-033000   00     114.50 1011.2    113.60     3.10    -9999
HERMANUS   031029 300  033000-033500   00     112.91 1011.3    112.06     1.70    -9999
HERMANUS   031029 300  033500-034000   00     114.31 1011.3    113.48     3.00    -9999
HERMANUS   031029 300  034000-034500   00     113.95 1011.3    113.17     2.80    -9999
HERMANUS   031029 300  034500-035000   00     114.33 1011.4    113.57     3.10    -9999
HERMANUS   031029 300  035000-035500   00     113.79 1011.4    113.08     2.70    -9999
HERMANUS   031029 300  035500-040000   00     114.95 1011.5    114.26     3.70    -9999
