JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    159.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   120517 300  164500-165000   00     168.58  656.1    159.64     0.30    -9999
JUNGFRAU   120517 300  165000-165500   00     169.35  656.1    160.41     0.80    -9999
JUNGFRAU   120517 300  165500-170000   00     167.08  656.1    158.28    -0.50    -9999
JUNGFRAU   120517 300  170000-170500   00     168.91  656.2    160.10     0.60    -9999
JUNGFRAU   120517 300  170500-171000   00     170.80  656.1    161.91     1.70    -9999
JUNGFRAU   120517 300  171000-171500   00     168.98  656.1    160.02     0.60    -9999
JUNGFRAU   120517 300  171500-172000   00     167.36  656.1    158.65    -0.30    -9999
JUNGFRAU   120517 300  172000-172500   00     168.27  656.1    159.45     0.20    -9999
JUNGFRAU   120517 300  172500-173000   00     167.12  656.1    158.27    -0.50    -9999
JUNGFRAU   120517 300  173000-173500   00     168.74  656.0    159.73     0.40    -9999
JUNGFRAU   120517 300  173500-174000   00     167.20  656.0    158.29    -0.50    -9999
JUNGFRAU   120517 300  174000-174500   00     169.27  656.0    160.19     0.70    -9999
JUNGFRAU   120517 300  174500-175000   00     168.37  656.0    159.38     0.20    -9999
JUNGFRAU   120517 300  175000-175500   00     168.98  656.0    159.94     0.50    -9999
JUNGFRAU   120517 300  175500-180000   00     168.07  656.0    158.97    -0.10    -9999
JUNGFRAU   120517 300  180000-180500   00     168.76  656.0    159.76     0.40    -9999
JUNGFRAU   120517 300  180500-181000   00     169.55  656.0    160.56     0.90    -9999
JUNGFRAU   120517 300  181000-181500   00     170.19  656.0    161.07     1.20    -9999
JUNGFRAU   120517 300  181500-182000   00     169.82  656.0    160.75     1.00    -9999
JUNGFRAU   120517 300  182000-182500   00     165.58  656.1    156.86    -1.40    -9999
JUNGFRAU   120517 300  182500-183000   00     167.48  656.0    158.45    -0.40    -9999
JUNGFRAU   120517 300  183000-183500   00     169.78  656.0    160.67     1.00    -9999
