GOOSE BAY  LATITUDE    53.27     LONGITUDE     299.6     ALTITUDE    46 M
GOOSE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
GOOSE BAY  STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
GOOSE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
GOOSE BAY  PRE-INCREASE AVERAGE COUNTING RATE    168.03      COUNTS PER SECOND
GOOSE BAY  TIME INTERVALS    60          300         3600     
GOOSE BAY  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
GOOSE BAY  000714 60   130400-130500   00     193.83  754.8    187.81    11.80    11.80
GOOSE BAY  000714 60   130500-130600   00     192.17  754.8    186.19    10.80    10.80
GOOSE BAY  000714 60   130600-130700   00     195.50  754.7    189.23    12.60    12.60
GOOSE BAY  000714 60   130700-130800   00     200.83  754.8    194.59    15.80    15.80
GOOSE BAY  000714 60   130800-130900   00     192.17  754.8    186.19    10.80    10.80
GOOSE BAY  000714 60   130900-131000   00     198.83  754.8    192.65    14.70    14.70
GOOSE BAY  000714 60   131000-131100   00     188.83  754.8    182.96     8.90     8.90
GOOSE BAY  000714 60   131100-131200   00     195.50  754.8    189.42    12.70    12.70
GOOSE BAY  000714 60   131200-131300   00     195.50  754.8    189.42    12.70    12.70
GOOSE BAY  000714 60   131300-131400   00     192.17  754.8    186.19    10.80    10.80
GOOSE BAY  000714 60   131400-131500   00     192.17  754.7    186.01    10.70    10.70
GOOSE BAY  000714 60   131500-131600   00     195.50  754.7    189.23    12.60    12.60
GOOSE BAY  000714 60   131600-131700   00     192.17  754.7    186.01    10.70    10.70
GOOSE BAY  000714 60   131700-131800   00     198.83  754.7    192.46    14.50    14.50
GOOSE BAY  000714 60   131800-131900   00     190.50  754.7    184.40     9.70     9.70
GOOSE BAY  000714 60   131900-132000   00     197.17  754.8    191.04    13.70    13.70
GOOSE BAY  000714 60   132000-132100   00     197.17  754.7    190.85    13.60    13.60
GOOSE BAY  000714 60   132100-132200   00     190.50  754.7    184.40     9.70     9.70
GOOSE BAY  000714 60   132200-132300   00     188.83  754.7    182.78     8.80     8.80
GOOSE BAY  000714 60   132300-132400   00     188.83  754.7    182.78     8.80     8.80
GOOSE BAY  000714 60   132400-132500   00     187.17  754.7    181.17     7.80     7.80
GOOSE BAY  000714 60   132500-132600   00     192.49  754.7    186.32    10.90    10.90
GOOSE BAY  000714 60   132600-132700   00     188.83  754.7    182.78     8.80     8.80
GOOSE BAY  000714 60   132700-132800   00     193.83  754.7    187.62    11.70    11.70
GOOSE BAY  000714 60   132800-132900   00     190.50  754.7    184.40     9.70     9.70
GOOSE BAY  000714 60   132900-133000   00     193.83  754.7    187.62    11.70    11.70
GOOSE BAY  000714 60   133000-133100   00     190.50  754.7    184.40     9.70     9.70
GOOSE BAY  000714 60   133100-133200   00     197.17  754.7    190.85    13.60    13.60
GOOSE BAY  000714 60   133200-133300   00     195.50  754.7    189.23    12.60    12.60
GOOSE BAY  000714 60   133300-133400   00     188.83  754.7    182.78     8.80     8.80
GOOSE BAY  000714 60   133400-133500   00     193.83  754.7    187.62    11.70    11.70
GOOSE BAY  000714 60   133500-133600   00     193.83  754.6    187.44    11.60    11.60
GOOSE BAY  000714 60   133600-133700   00     195.50  754.6    189.05    12.50    12.50
GOOSE BAY  000714 60   133700-133800   00     188.83  754.6    182.60     8.70     8.70
GOOSE BAY  000714 60   133800-133900   00     190.50  754.7    184.40     9.70     9.70
GOOSE BAY  000714 60   133900-134000   00     195.50  754.7    189.23    12.60    12.60
GOOSE BAY  000714 60   134000-134100   00     194.16  754.7    187.93    11.80    11.80
GOOSE BAY  000714 60   134100-134200   00     192.17  754.6    185.82    10.60    10.60
GOOSE BAY  000714 60   134200-134300   00     188.83  754.6    182.60     8.70     8.70
GOOSE BAY  000714 60   134300-134400   00     190.50  754.5    184.03     9.50     9.50
GOOSE BAY  000714 60   134400-134500   00     190.50  754.6    184.21     9.60     9.60
GOOSE BAY  000714 60   134500-134600   00     197.17  754.6    190.66    13.50    13.50
GOOSE BAY  000714 60   134600-134700   00     188.83  754.5    182.42     8.60     8.60
GOOSE BAY  000714 60   134700-134800   00     197.17  754.5    190.47    13.40    13.40
GOOSE BAY  000714 60   134800-134900   00     190.50  754.5    184.03     9.50     9.50
GOOSE BAY  000714 60   134900-135000   00     192.17  754.5    185.64    10.50    10.50
GOOSE BAY  000714 60   135000-135100   00     197.17  754.6    190.66    13.50    13.50
GOOSE BAY  000714 60   135100-135200   00     188.83  754.5    182.42     8.60     8.60
GOOSE BAY  000714 60   135200-135300   00     188.83  754.5    182.42     8.60     8.60
