,,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
9,1,90.0,0.0,2.0,0.01568401759811742,0.022085209688103475,0.0038270518762049165,0.010937761334962593,0.006861742925810424,0.004404608053490267,6.861742925810424e-16,6.861742925810424e-11,2012-05-17 02:40:00+00:00
9,2,90.0,0.0,5.0,0.17763754862671166,0.241784839483824,0.09886449768100627,0.11946711667830244,0.07670583172271589,0.050778597765904133,7.670583172271589e-15,7.67058317227159e-10,2012-05-17 02:40:00+00:00
9,3,90.0,0.0,12.0,6.403615860786817,7.741318565282609,4.194174743487145,3.604812612185425,2.2946946179741787,1.5225839881488412,2.294694617974179e-13,2.2946946179741787e-08,2012-05-17 02:40:00+00:00
9,4,90.0,0.0,20.0,112.32634432747003,73.12599508079,71.26842181915815,17.32155118776318,10.527981408522088,6.791400148889515,1.0527981408522089e-12,1.0527981408522089e-07,2012-05-17 02:40:00+00:00
10,0,90.0,0.0,0.0,0.002097838729686957,0.002960918395055522,0.00023969717910612084,0.0014618594578881237,0.000842329479797568,0.0005459819723190856,8.423294797975679e-17,8.42329479797568e-12,2012-05-17 02:45:00+00:00
10,1,90.0,0.0,2.0,0.01511219541499685,0.02130485191921953,0.0036382927153610365,0.010552955153547105,0.006617669629279571,0.004243565590741029,6.617669629279571e-16,6.61766962927957e-11,2012-05-17 02:45:00+00:00
10,2,90.0,0.0,5.0,0.17161403168148792,0.2338926157026467,0.09522481152382066,0.115595254002931,0.07420111093800588,0.049099035541032794,7.420111093800589e-15,7.420111093800588e-10,2012-05-17 02:45:00+00:00
10,3,90.0,0.0,12.0,6.1940029871676066,7.521289864984318,4.064773497105977,3.5081946368581387,2.232835616359865,1.4808065980961962,2.2328356163598652e-13,2.232835616359865e-08,2012-05-17 02:45:00+00:00
10,4,90.0,0.0,20.0,109.77860868289063,71.71290518736656,70.02410255982109,16.97156577245402,10.313090441220156,6.648664529875022,1.0313090441220156e-12,1.0313090441220156e-07,2012-05-17 02:45:00+00:00
11,0,90.0,0.0,0.0,0.0020442807207192446,0.0028855697106633313,0.00023207456432139712,0.0014248170535589861,0.0008201190880881347,0.0005317198086506966,8.201190880881347e-17,8.201190880881348e-12,2012-05-17 02:50:00+00:00
11,1,90.0,0.0,2.0,0.014748905435846935,0.02081241961697244,0.0035119965883711984,0.010310471381077397,0.006463567752285495,0.004141489094695757,6.463567752285496e-16,6.463567752285495e-11,2012-05-17 02:50:00+00:00
11,2,90.0,0.0,5.0,0.16783949942238963,0.22898742567932254,0.09291603388135941,0.11319401653958908,0.07264608189248634,0.04805402446276486,7.264608189248634e-15,7.264608189248633e-10,2012-05-17 02:50:00+00:00
11,3,90.0,0.0,12.0,6.064462402109527,7.3884048643729905,3.9855161813059805,3.4504707940837105,2.1958405613689194,1.4557425520203464,2.1958405613689194e-13,2.1958405613689195e-08,2012-05-17 02:50:00+00:00
11,4,90.0,0.0,20.0,108.31045701479147,70.92645169399182,69.34978445019516,16.774560148828193,10.191828534595814,6.567574640066533,1.0191828534595815e-12,1.0191828534595814e-07,2012-05-17 02:50:00+00:00
12,0,90.0,0.0,0.0,0.00186599657366565,0.002635135921353766,0.0002065367224227944,0.0013017204124707263,0.000747449927767576,0.00048479640324981837,7.474499277675761e-17,7.474499277675761e-12,2012-05-17 02:55:00+00:00
12,1,90.0,0.0,2.0,0.013514052390061438,0.019114521141345216,0.0031310659881777997,0.009472849146412632,0.005934032401270505,0.0037955738533161252,5.934032401270505e-16,5.934032401270506e-11,2012-05-17 02:55:00+00:00
12,2,90.0,0.0,5.0,0.1545481924618536,0.2113789865616084,0.08510797649088372,0.1045452377269937,0.06706896885455002,0.044331946705487596,6.706896885455002e-15,6.706896885455002e-10,2012-05-17 02:55:00+00:00
12,3,90.0,0.0,12.0,5.601507476607917,6.872828230996488,3.6926209566221497,3.2181276332039017,2.047489960380136,1.3563702517752496,2.047489960380136e-13,2.047489960380136e-08,2012-05-17 02:55:00+00:00
12,4,90.0,0.0,20.0,101.69715275901744,66.90710703616428,65.59202885504308,15.803065005791902,9.598636475555287,6.179890414766478,9.598636475555286e-13,9.598636475555287e-08,2012-05-17 02:55:00+00:00
13,0,90.0,0.0,0.0,0.0017903203474938156,0.00252780785018902,0.0001995515848055994,0.0012485483571398391,0.0007170903443320221,0.00046513436540041785,7.170903443320221e-17,7.170903443320221e-12,2012-05-17 03:00:00+00:00
13,1,90.0,0.0,2.0,0.012958788959971873,0.018323163941834652,0.0030136109543816526,0.009080137008044605,0.005688581902673109,0.003639119692029777,5.688581902673109e-16,5.688581902673109e-11,2012-05-17 03:00:00+00:00
13,2,90.0,0.0,5.0,0.14811228479168106,0.20251347892371543,0.08161460972574883,0.1001516019465573,0.06425174347509795,0.042472724699358054,6.425174347509795e-15,6.425174347509795e-10,2012-05-17 03:00:00+00:00
13,3,90.0,0.0,12.0,5.365105641426001,6.579103966947535,3.535943794516184,3.0799546770382773,1.9596050936104037,1.2982112406001398,1.9596050936104036e-13,1.959605093610404e-08,2012-05-17 03:00:00+00:00
13,4,90.0,0.0,20.0,97.27068784443898,63.99073870409079,62.72764839563207,15.11554064116938,9.18118839814501,5.91133837636947,9.18118839814501e-13,9.181188398145012e-08,2012-05-17 03:00:00+00:00
14,0,90.0,0.0,0.0,0.0016811614082743447,0.002372660195136654,0.0001893977424172471,0.0011716818461129802,0.0006723340447322195,0.0004363634625606979,6.723340447322195e-17,6.723340447322195e-12,2012-05-17 03:05:00+00:00
14,1,90.0,0.0,2.0,0.012175721294209171,0.017223263148841532,0.0028153708957094057,0.008535410740572184,0.005346441255551213,0.003417735741024064,5.346441255551213e-16,5.3464412555512136e-11,2012-05-17 03:05:00+00:00
14,2,90.0,0.0,5.0,0.13935404726100542,0.1906551799267585,0.0766811500137434,0.09429018790020893,0.060478297976961255,0.03996696174011298,6.047829797696126e-15,6.047829797696126e-10,2012-05-17 03:05:00+00:00
14,3,90.0,0.0,12.0,5.0474774727558005,6.208864347880395,3.3312232321985316,2.909938595006341,1.8511933238205758,1.2259186034396843,1.8511933238205757e-13,1.8511933238205758e-08,2012-05-17 03:05:00+00:00
14,4,90.0,0.0,20.0,92.12961913343777,60.81144430375561,59.709647998583655,14.35542160205499,8.718049469323157,5.610221058356187,8.718049469323157e-13,8.718049469323157e-08,2012-05-17 03:05:00+00:00
15,0,90.0,0.0,0.0,0.0015633313055042409,0.0022062547664262744,0.00017517851387476277,0.0010895857814138235,0.0006243257408327763,0.0004054020452439556,6.243257408327764e-17,6.2432574083277635e-12,2012-05-17 03:10:00+00:00
15,1,90.0,0.0,2.0,0.011342141994697122,0.016062085381834564,0.0025866930129536656,0.007961349215450277,0.004985068576143266,0.0031833535663121915,4.985068576143266e-16,4.985068576143267e-11,2012-05-17 03:10:00+00:00
15,2,90.0,0.0,5.0,0.1301550262064132,0.1782967583616538,0.07143306297148652,0.08819767460458094,0.05655540303316989,0.03735844374806097,5.655540303316989e-15,5.655540303316988e-10,2012-05-17 03:10:00+00:00
15,3,90.0,0.0,12.0,4.719955854986226,5.830554021759054,3.120866678797257,2.73686310836004,1.7408162917084273,1.1522710265291751,1.7408162917084274e-13,1.7408162917084274e-08,2012-05-17 03:10:00+00:00
15,4,90.0,0.0,20.0,86.96594275400517,57.60377952295761,56.66238296686094,13.587463435593596,8.250053100344308,5.305926658497529,8.250053100344308e-13,8.250053100344308e-08,2012-05-17 03:10:00+00:00
16,0,90.0,0.0,0.0,0.0014416382185494737,0.0020350512033707004,0.00015833291221748822,0.0010053559962034922,0.0005749785424227827,0.00037351405524923957,5.749785424227827e-17,5.749785424227827e-12,2012-05-17 03:15:00+00:00
